NUMMER,INDIKATOR_GRUPPE,INDIKATOR_BEZEICHNUNG,INDIKATOR_AUSPRAEGUNG,INDIKATOR_WERT,BASISWERT_1,BASISWERT_2,NAME_BASISWERT1,NAME_BASISWERT2,JAHR,GLIEDERUNG,NAME
1,Grundschüler_innen,Nationalität,ausländisch,14.9,47,315,ausländische Grundschüler_innen,alle Grundschüler_innen,2007,Stadtbezirk,01 Altstadt - Lehel
1,Grundschüler_innen,Nationalität,ausländisch,16,52,325,ausländische Grundschüler_innen,alle Grundschüler_innen,2008,Stadtbezirk,01 Altstadt - Lehel
1,Grundschüler_innen,Nationalität,ausländisch,21.4,74,346,ausländische Grundschüler_innen,alle Grundschüler_innen,2009,Stadtbezirk,01 Altstadt - Lehel
1,Grundschüler_innen,Nationalität,ausländisch,20.5,69,336,ausländische Grundschüler_innen,alle Grundschüler_innen,2010,Stadtbezirk,01 Altstadt - Lehel
1,Grundschüler_innen,Nationalität,ausländisch,20.7,79,381,ausländische Grundschüler_innen,alle Grundschüler_innen,2011,Stadtbezirk,01 Altstadt - Lehel
1,Grundschüler_innen,Nationalität,ausländisch,18.5,75,405,ausländische Grundschüler_innen,alle Grundschüler_innen,2012,Stadtbezirk,01 Altstadt - Lehel
1,Grundschüler_innen,Nationalität,ausländisch,18.3,73,399,ausländische Grundschüler_innen,alle Grundschüler_innen,2013,Stadtbezirk,01 Altstadt - Lehel
1,Grundschüler_innen,Nationalität,ausländisch,19.6,83,424,ausländische Grundschüler_innen,alle Grundschüler_innen,2014,Stadtbezirk,01 Altstadt - Lehel
